archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_008_6947_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_003_3085_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_008_6948_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_003_6947_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_007_6947_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_004_6947_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_012_6947_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_002_6947_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_006_6947_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_010_6947_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_010_6947_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_013_6947_Mesa_13.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_005_6947_Mesa_5.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_011_6947_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_003_6947_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_001_6948_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_005_6948_Mesa_5.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_007_6947_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_008_6947_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_004_6948_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_004_6947_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_001_6947_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_016_6947_Mesa_16.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_014_6947_Mesa_14.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_007_6948_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_009_6947_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_002_6948_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_006_6947_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_003_6948_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_015_6947_Mesa_15.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_006_6948_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_015_6949_Mesa_15.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_021_6949_Mesa_21.pdf",CORRUPTO
