Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
ANTIOQUIA,01,001,30,E14_PRE_01_001_027_14_01_030_5073_Mesa_30.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,282,15,E14_PRE_01_282_000_00_00_015_2114_Mesa_15.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,082,13,E14_PRE_01_082_001_00_02_013_5150_Mesa_13.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,7,E14_PRE_01_001_031_16_07_007_5039_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,106,10,E14_PRE_01_106_003_00_01_010_5165_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,6,E14_PRE_01_001_010_05_05_006_5057_Mesa_6.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,148,10,E14_PRE_01_148_000_00_00_010_2057_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,205,10,E14_PRE_01_205_001_00_01_010_5226_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,088,1,E14_PRE_01_088_002_00_03_001_5155_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,187,5,E14_PRE_01_187_000_00_00_005_2073_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,049,36,E14_PRE_01_049_002_02_01_036_5122_Mesa_36.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,13,E14_PRE_01_001_014_07_04_013_5096_Mesa_13.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,082,21,E14_PRE_01_082_002_00_02_021_5152_Mesa_21.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,1,E14_PRE_01_001_001_01_04_001_5003_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,20,E14_PRE_01_001_006_03_02_020_5010_Mesa_20.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,218,12,E14_PRE_01_218_003_00_01_012_5244_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,6,E14_PRE_01_001_011_06_05_006_5055_Mesa_6.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,166,9,E14_PRE_01_166_002_00_01_009_5214_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,145,23,E14_PRE_01_145_000_00_00_023_2056_Mesa_23.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,301,5,E14_PRE_01_301_000_00_01_005_5274_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,163,1,E14_PRE_01_163_002_00_01_001_5210_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,231,2,E14_PRE_01_231_099_00_86_002_5246_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,12,E14_PRE_01_001_023_12_04_012_5030_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,028,20,E14_PRE_01_028_000_00_00_020_2009_Mesa_20.pdf,0.0,🟢 ESCANEO REAL
