dane_code,orig_has_text,alt_has_text,orig_xref_corrupt,alt_xref_corrupt,orig_image_bytes,alt_image_bytes,qr_match,qr_payload_count
01_280_01_01_004.pdf,False,False,True,True,50783,51561,True,2
01_280_01_01_005.pdf,False,False,True,True,51465,52530,True,2
01_265_99_13_002.pdf,False,False,True,True,1090810,55803,False,0
01_280_01_01_006.pdf,False,False,True,True,49005,51634,True,2
01_280_01_01_008.pdf,False,False,True,True,61341,52511,True,2
01_280_01_01_007.pdf,False,False,True,True,63342,55107,True,2
01_280_01_01_009.pdf,False,False,True,True,50643,53013,True,2
01_280_01_01_010.pdf,False,False,True,True,53199,51826,True,2
01_280_01_01_011.pdf,False,False,True,True,51889,53311,True,2
01_280_01_01_012.pdf,False,False,True,True,53126,54543,True,2
01_280_01_01_013.pdf,False,False,True,True,62492,51357,True,2
01_280_01_01_014.pdf,False,False,True,True,62371,51284,True,2
01_280_01_01_015.pdf,False,False,True,True,47331,49591,True,2
01_265_99_15_001.pdf,False,False,True,True,2297918,52921,True,2
01_280_01_01_016.pdf,False,False,True,True,49492,51063,True,2
01_280_01_01_017.pdf,False,False,True,True,49816,51546,True,2
01_265_99_15_002.pdf,False,False,True,True,2154491,52998,False,1
01_280_01_01_018.pdf,False,False,True,True,51251,52691,True,2
01_280_01_01_019.pdf,False,False,True,True,54064,55980,True,2
01_280_01_01_020.pdf,False,False,True,True,49564,51653,True,2
01_280_01_01_021.pdf,False,False,True,True,50088,51369,True,2
01_280_01_01_022.pdf,False,False,True,True,50397,52426,True,2
01_280_01_01_023.pdf,False,False,True,True,52531,54519,True,2
01_280_01_02_001.pdf,False,False,True,True,48287,49581,True,2
01_280_01_02_002.pdf,False,False,True,True,50902,52033,True,2
01_280_01_02_003.pdf,False,False,True,True,51392,51521,True,2
01_280_01_02_004.pdf,False,False,True,True,51950,50881,True,2
01_280_01_02_005.pdf,False,False,True,True,51709,52212,True,2
01_280_01_02_007.pdf,False,False,True,True,51903,53947,True,2
01_280_01_02_006.pdf,False,False,True,True,53449,52407,True,2
01_280_01_02_008.pdf,False,False,True,True,52959,50973,True,2
01_280_01_02_010.pdf,False,False,True,True,48344,51502,True,2
01_280_01_02_009.pdf,False,False,True,True,52075,51290,True,2
01_280_01_02_011.pdf,False,False,True,True,53401,52328,True,2
01_280_01_02_012.pdf,False,False,True,True,52373,50774,True,2
01_280_01_02_013.pdf,False,False,True,True,50948,51781,True,2
01_280_01_02_014.pdf,False,False,True,True,53065,53106,True,2
01_280_01_02_015.pdf,False,False,True,True,48544,49791,True,2
01_280_01_02_017.pdf,False,False,True,True,50837,52808,True,2
01_280_01_02_016.pdf,False,False,True,True,48729,50762,True,2
01_280_01_03_001.pdf,False,False,True,True,54945,52009,True,2
01_280_01_03_002.pdf,False,False,True,True,53192,50926,True,2
01_280_01_03_003.pdf,False,False,True,True,53752,51380,True,2
01_280_01_03_004.pdf,False,False,True,True,51515,49821,True,2
01_280_01_03_005.pdf,False,False,True,True,52818,51823,True,2
01_280_01_03_007.pdf,False,False,True,True,51274,52842,True,2
01_280_01_03_006.pdf,False,False,True,True,53513,52799,True,2
01_280_01_03_008.pdf,False,False,True,True,49262,50841,True,2
01_280_02_02_009.pdf,False,False,True,True,52785,48403,True,2
01_280_02_02_022.pdf,False,False,True,True,64891,54275,True,2
01_280_99_01_001.pdf,False,False,True,True,47667,50972,True,2
01_280_99_01_002.pdf,False,False,True,True,46994,49234,True,2
01_280_99_01_003.pdf,False,False,True,True,49239,51737,True,2
01_280_99_02_001.pdf,False,False,True,True,49862,47820,True,2
01_280_99_03_001.pdf,False,False,True,True,57832,51500,True,2
01_280_99_02_002.pdf,False,False,True,True,60631,60228,True,2
01_280_99_03_002.pdf,False,False,True,True,59137,52059,True,2
01_280_99_03_004.pdf,False,False,True,True,62517,50180,False,1
01_280_99_03_003.pdf,False,False,True,True,50347,51430,True,2
01_280_99_03_005.pdf,False,False,True,True,58929,51610,True,2
01_280_99_03_006.pdf,False,False,True,True,50863,52742,True,2
01_280_99_03_007.pdf,False,False,True,True,62598,52127,True,2
01_280_99_03_008.pdf,False,False,True,True,64623,51731,True,2
01_280_99_03_009.pdf,False,False,True,True,55896,55370,True,2
01_280_99_03_010.pdf,False,False,True,True,54968,53729,True,2
01_280_99_03_012.pdf,False,False,True,True,63895,53694,True,2
01_280_99_03_011.pdf,False,False,True,True,59486,51817,True,2
01_280_99_03_014.pdf,False,False,True,True,62912,52585,True,2
01_280_99_03_013.pdf,False,False,True,True,62627,49720,True,2
01_280_99_03_015.pdf,False,False,True,True,57627,49190,True,2
01_280_99_03_017.pdf,False,False,True,True,60058,52822,True,2
01_280_99_03_016.pdf,False,False,True,True,57721,51410,True,2
01_280_99_03_018.pdf,False,False,True,True,48644,51181,True,2
01_280_99_03_020.pdf,False,False,True,True,57556,52292,True,2
01_280_99_03_019.pdf,False,False,True,True,63518,55909,True,2
01_280_99_03_021.pdf,False,False,True,True,63444,50976,True,2
01_280_99_03_022.pdf,False,False,True,True,65538,53760,True,2
01_280_99_04_001.pdf,False,False,True,True,52445,50050,True,2
01_280_99_05_001.pdf,False,False,True,True,53487,51050,True,2
01_280_99_05_002.pdf,False,False,True,True,52014,50113,True,2
01_280_99_05_003.pdf,False,False,True,True,54732,52771,True,2
01_280_99_05_005.pdf,False,False,True,True,50115,50213,True,2
01_280_99_05_004.pdf,False,False,True,True,52625,50459,True,2
01_280_99_06_005.pdf,False,False,True,True,70425,52543,True,2
01_280_99_07_001.pdf,False,False,True,True,56617,56871,True,2
01_280_99_06_006.pdf,False,False,True,True,80423,53436,True,2
01_280_99_08_004.pdf,False,False,True,True,65140,55304,True,2
01_280_99_08_005.pdf,False,False,True,True,66823,52263,True,2
01_280_99_10_007.pdf,False,False,True,True,55052,49068,True,2
01_280_99_12_005.pdf,False,False,True,True,63815,54642,True,2
01_280_99_14_010.pdf,False,False,True,True,61751,52319,True,2
01_280_99_14_012.pdf,False,False,True,True,62961,55194,True,2
01_280_99_14_011.pdf,False,False,True,True,59099,62789,True,2
01_280_99_14_013.pdf,False,False,True,True,61545,53471,True,2
01_280_99_14_014.pdf,False,False,True,True,58382,51450,True,2
01_280_99_14_015.pdf,False,False,True,True,60220,54891,True,2
01_280_99_14_017.pdf,False,False,True,True,57427,55681,True,2
01_280_99_16_002.pdf,False,False,True,True,57795,50657,True,2
01_280_99_17_002.pdf,False,False,True,True,58788,48197,True,2
01_280_99_26_001.pdf,False,False,True,True,55631,52785,True,2
01_280_99_35_002.pdf,False,False,True,True,63406,51294,True,2
01_280_99_A1_001.pdf,False,False,True,True,58433,53256,True,2
01_280_99_A1_014.pdf,False,False,True,True,61136,57076,True,2
01_283_01_02_005.pdf,False,False,True,True,50040,48990,True,2
01_280_99_A1_013.pdf,False,False,True,True,60959,52230,True,2
01_280_99_A2_005.pdf,False,False,True,True,52831,49749,True,2
01_280_99_A1_025.pdf,False,False,True,True,65421,50089,True,2
01_283_02_02_003.pdf,False,False,True,True,47847,46755,True,2
01_283_99_17_001.pdf,False,False,True,True,47130,45980,True,2
01_293_00_00_001.pdf,False,False,True,True,46601,47041,True,2
01_283_99_21_001.pdf,False,False,True,True,50326,50326,True,2
01_293_00_00_003.pdf,False,False,True,True,46624,47401,True,2
01_295_01_02_006.pdf,False,False,True,True,49877,49634,True,2
01_293_00_00_002.pdf,False,False,True,True,48644,46030,True,2
01_295_01_02_013.pdf,False,False,True,True,69113,46818,False,1
01_295_01_06_005.pdf,False,False,True,True,49509,48684,True,2
01_295_02_02_005.pdf,False,False,True,True,66539,48442,False,1
01_035_02_02_002.pdf,False,False,True,True,70771,56539,False,1
01_035_02_02_005.pdf,False,False,True,True,70113,50129,False,1
01_028_00_00_001.pdf,False,False,True,True,57193,57193,True,2
01_028_00_00_002.pdf,False,False,True,True,56058,56058,True,2
01_046_99_05_001.pdf,False,False,True,True,583235,47516,False,0
01_046_99_01_001.pdf,False,False,True,True,615583,46268,False,1
01_046_99_01_002.pdf,False,False,True,True,641660,45959,False,1
01_028_00_00_003.pdf,False,False,True,True,56669,56669,True,2
01_028_00_00_004.pdf,False,False,True,True,57494,57494,True,2
01_028_00_00_005.pdf,False,False,True,True,56887,56887,True,2
01_028_00_00_006.pdf,False,False,True,True,33465,56325,False,1
01_028_00_00_014.pdf,False,False,True,True,29149,55518,False,1
01_028_00_00_008.pdf,False,False,True,True,32422,56782,False,1
01_028_00_00_007.pdf,False,False,True,True,54836,54836,True,2
01_028_00_00_015.pdf,False,False,True,True,30036,56129,False,1
01_028_99_37_001.pdf,False,False,True,True,964761,53258,False,0
01_043_02_05_002.pdf,False,False,True,True,602266,51395,False,1
01_043_02_05_001.pdf,False,False,True,True,740836,48559,False,1
01_043_02_05_003.pdf,False,False,True,True,667376,48665,False,1
01_043_02_05_005.pdf,False,False,True,True,683206,49763,False,1
01_043_02_05_004.pdf,False,False,True,True,697908,51406,False,1
01_043_02_05_006.pdf,False,False,True,True,629770,48753,False,1
01_043_02_01_001.pdf,False,False,True,True,995705,53205,False,0
01_043_02_01_002.pdf,False,False,True,True,961898,53426,False,0
01_043_02_04_001.pdf,False,False,True,True,824934,49822,False,0
01_043_02_01_003.pdf,False,False,True,True,949682,52123,False,0
01_043_02_04_009.pdf,False,False,True,True,51546,51546,True,2
01_043_02_01_004.pdf,False,False,True,True,937334,53275,False,0
01_043_02_01_007.pdf,False,False,True,True,926544,51007,False,1
01_043_02_01_005.pdf,False,False,True,True,867138,53632,False,0
01_043_02_01_006.pdf,False,False,True,True,1083622,50481,False,1
01_043_02_04_007.pdf,False,False,True,True,848479,53087,False,1
01_043_02_02_003.pdf,False,False,True,True,513167,50679,False,1
01_043_02_02_002.pdf,False,False,True,True,528194,51764,False,0
01_043_02_02_004.pdf,False,False,True,True,511426,50944,False,0
01_043_02_04_018.pdf,False,False,True,True,714367,49345,False,0
01_043_02_04_011.pdf,False,False,True,True,791457,52881,False,0
01_043_02_02_001.pdf,False,False,True,True,839973,50990,False,1
01_043_02_04_012.pdf,False,False,True,True,864549,50933,False,0
01_043_02_02_005.pdf,False,False,True,True,507080,51489,False,0
01_043_02_02_007.pdf,False,False,True,True,518277,51349,False,0
01_043_02_02_008.pdf,False,False,True,True,521988,50041,False,1
01_043_02_03_003.pdf,False,False,True,True,588374,52434,False,0
01_043_02_02_006.pdf,False,False,True,True,819144,51359,False,1
01_043_02_03_001.pdf,False,False,True,True,972271,52139,False,1
01_043_02_03_002.pdf,False,False,True,True,1000363,53129,False,1
01_043_02_03_004.pdf,False,False,True,True,1005428,51601,False,1
01_043_01_01_009.pdf,False,False,True,True,50250,50250,True,2
01_043_02_03_005.pdf,False,False,True,True,1035028,52079,False,1
01_043_02_03_007.pdf,False,False,True,True,964359,51002,False,1
01_043_02_03_006.pdf,False,False,True,True,1046474,48595,False,1
01_043_01_01_006.pdf,False,False,True,True,859935,49938,False,1
01_043_01_03_002.pdf,False,False,True,True,1321262,51694,False,0
01_043_01_03_003.pdf,False,False,True,True,1309438,50889,False,1
01_043_01_03_001.pdf,False,False,True,True,1861245,56900,False,1
01_043_01_03_004.pdf,False,False,True,True,1198325,49116,False,0
01_043_01_03_005.pdf,False,False,True,True,1354851,50460,False,1
01_043_01_03_006.pdf,False,False,True,True,1337652,49760,False,1
01_043_01_03_007.pdf,False,False,True,True,1293142,50498,False,1
01_043_01_03_008.pdf,False,False,True,True,1329251,51631,False,1
01_043_01_03_009.pdf,False,False,True,True,1245025,51554,False,0
01_043_01_03_010.pdf,False,False,True,True,1359955,49500,False,0
01_043_01_03_011.pdf,False,False,True,True,1286525,54281,False,1
01_043_01_03_012.pdf,False,False,True,True,1208006,47816,False,1
01_043_01_03_013.pdf,False,False,True,True,1284956,49742,False,1
01_043_01_03_015.pdf,False,False,True,True,1456843,49797,False,1
01_043_01_03_014.pdf,False,False,True,True,1251402,49638,False,0
01_043_01_03_016.pdf,False,False,True,True,1214530,49729,False,1
01_043_01_03_017.pdf,False,False,True,True,1402508,50443,False,1
01_043_01_03_019.pdf,False,False,True,True,1319019,51792,False,1
01_043_01_03_018.pdf,False,False,True,True,1391455,51365,False,1
01_043_01_03_020.pdf,False,False,True,True,1304500,52611,False,1
01_043_01_02_001.pdf,False,False,True,True,552516,52017,False,0
01_043_01_03_021.pdf,False,False,True,True,1265855,51670,False,1
01_043_01_03_023.pdf,False,False,True,True,1268847,52940,False,1
01_043_01_03_022.pdf,False,False,True,True,1296895,51878,False,1
01_043_01_02_017.pdf,False,False,True,True,51753,51753,True,2
01_019_99_01_001.pdf,False,False,True,True,51832,51832,True,2
01_043_01_02_003.pdf,False,False,True,True,660540,51769,False,0
01_043_01_02_006.pdf,False,False,True,True,579872,49948,False,0
01_043_01_02_004.pdf,False,False,True,True,654914,48876,False,1
01_043_01_02_008.pdf,False,False,True,True,579605,51126,False,0
01_280_02_02_009.pdf,False,False,True,True,52785,48403,True,2
01_280_02_02_022.pdf,False,False,True,True,64891,54275,True,2
01_019_99_01_004.pdf,False,False,True,True,601058,49925,False,0
01_280_99_04_001.pdf,False,False,True,True,52445,50050,True,2
01_250_99_20_001.pdf,False,False,True,True,783394,52292,False,1
01_280_99_08_004.pdf,False,False,True,True,65140,55304,True,2
01_280_99_08_005.pdf,False,False,True,True,66823,52263,True,2
01_280_99_A1_001.pdf,False,False,True,True,58433,53256,True,2
01_280_99_A1_013.pdf,False,False,True,True,60959,52230,True,2
01_280_99_A1_014.pdf,False,False,True,True,61136,57076,True,2
