archivo_pdf,resultado_xref,departamento,municipio,zona,puesto,mesa
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_027_6947_Mesa_27.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_27"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_018_6947_Mesa_18.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_18"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_001_6948_Mesa_1.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_009_6947_Mesa_9.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_9"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_028_6947_Mesa_28.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_28"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_010_6947_Mesa_10.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_10"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_005_6948_Mesa_5.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_5"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_011_6947_Mesa_11.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_11"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_002_6947_Mesa_2.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_2"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_015_6947_Mesa_15.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_15"
